sep=^
Task ID^Storage Interval^Operator ID^Message Length (secs)^Start Time^Stop Time^Threshold Method^Duration^Station Name^All Single Channels^Location (lat)^Location (lon)^Antenna^Polarization
1362^1 hours^SMSWS06^15^6/15/2021 10:00:00 AM^6/30/2021 10:00:08 AM^Noise Riding 10 dB^Fixed: 15 days^San Miguel^No^13.492785^-88.191432^Vertical Ref^Vertical

Band #^Start Frequency (MHz)^Stop Frequency (MHz)^Bandwidth (kHz)
1^460.000000^470.000000^5.00000

Channel No.^Frequency (MHz)^Maximum Occupancy (%)^Average Occupancy (%)^Maximum Field Strength (dBuV/m)^Average Field Strength (dBuV/m)
1^460.000000^0^0^---^---
2^460.005000^0^0^---^---
3^460.010000^0^0^---^---
4^460.015000^0^0^---^---
5^460.020000^0^0^---^---
6^460.025000^0^0^---^---
7^460.030000^0^0^---^---
8^460.035000^0^0^---^---
9^460.040000^0^0^---^---
10^460.045000^0^0^---^---
11^460.050000^0^0^---^---
12^460.055000^0^0^---^---
13^460.060000^0^0^---^---
14^460.065000^0^0^---^---
15^460.070000^0^0^---^---
16^460.075000^0^0^---^---
17^460.080000^0^0^---^---
18^460.085000^0^0^30^18
19^460.090000^100^98^36^27
20^460.095000^100^100^41^32
21^460.100000^100^99^39^30
22^460.105000^47^3^25^18
23^460.110000^0^0^---^---
24^460.115000^0^0^---^---
25^460.120000^0^0^---^---
26^460.125000^0^0^---^---
27^460.130000^0^0^---^---
28^460.135000^0^0^---^---
29^460.140000^0^0^---^---
30^460.145000^0^0^---^---
31^460.150000^0^0^---^---
32^460.155000^0^0^---^---
33^460.160000^0^0^---^---
34^460.165000^0^0^---^---
35^460.170000^0^0^---^---
36^460.175000^0^0^---^---
37^460.180000^0^0^---^---
38^460.185000^0^0^---^---
39^460.190000^0^0^---^---
40^460.195000^0^0^---^---
41^460.200000^0^0^---^---
42^460.205000^0^0^---^---
43^460.210000^0^0^---^---
44^460.215000^0^0^---^---
45^460.220000^0^0^---^---
46^460.225000^0^0^---^---
47^460.230000^0^0^---^---
48^460.235000^0^0^---^---
49^460.240000^0^0^---^---
50^460.245000^0^0^---^---
51^460.250000^0^0^---^---
52^460.255000^0^0^---^---
53^460.260000^0^0^---^---
54^460.265000^0^0^---^---
55^460.270000^0^0^23^19
56^460.275000^0^0^24^21
57^460.280000^0^0^25^22
58^460.285000^0^0^---^---
59^460.290000^0^0^---^---
60^460.295000^0^0^---^---
61^460.300000^0^0^---^---
62^460.305000^0^0^---^---
63^460.310000^0^0^---^---
64^460.315000^0^0^23^18
65^460.320000^6^0^43^29
66^460.325000^16^1^55^42
67^460.330000^1^0^36^25
68^460.335000^0^0^---^---
69^460.340000^0^0^---^---
70^460.345000^0^0^---^---
71^460.350000^0^0^---^---
72^460.355000^0^0^---^---
73^460.360000^0^0^---^---
74^460.365000^0^0^---^---
75^460.370000^0^0^---^---
76^460.375000^0^0^---^---
77^460.380000^0^0^---^---
78^460.385000^0^0^---^---
79^460.390000^0^0^---^---
80^460.395000^0^0^---^---
81^460.400000^0^0^---^---
82^460.405000^0^0^---^---
83^460.410000^0^0^---^---
84^460.415000^0^0^---^---
85^460.420000^0^0^---^---
86^460.425000^0^0^---^---
87^460.430000^0^0^---^---
88^460.435000^0^0^---^---
89^460.440000^0^0^---^---
90^460.445000^0^0^---^---
91^460.450000^0^0^---^---
92^460.455000^0^0^---^---
93^460.460000^0^0^---^---
94^460.465000^0^0^---^---
95^460.470000^0^0^---^---
96^460.475000^0^0^---^---
97^460.480000^0^0^---^---
98^460.485000^0^0^---^---
99^460.490000^0^0^21^20
100^460.495000^0^0^---^---
101^460.500000^0^0^---^---
102^460.505000^0^0^---^---
103^460.510000^0^0^27^18
104^460.515000^0^0^---^---
105^460.520000^0^0^---^---
106^460.525000^0^0^---^---
107^460.530000^0^0^---^---
108^460.535000^0^0^---^---
109^460.540000^0^0^---^---
110^460.545000^0^0^---^---
111^460.550000^0^0^---^---
112^460.555000^0^0^---^---
113^460.560000^0^0^---^---
114^460.565000^0^0^---^---
115^460.570000^0^0^---^---
116^460.575000^0^0^---^---
117^460.580000^0^0^---^---
118^460.585000^0^0^---^---
119^460.590000^0^0^---^---
120^460.595000^0^0^23^19
121^460.600000^0^0^25^20
122^460.605000^0^0^23^20
123^460.610000^0^0^21^20
124^460.615000^0^0^26^20
125^460.620000^0^0^25^19
126^460.625000^0^0^---^---
127^460.630000^0^0^---^---
128^460.635000^0^0^---^---
129^460.640000^0^0^---^---
130^460.645000^0^0^---^---
131^460.650000^0^0^---^---
132^460.655000^0^0^---^---
133^460.660000^0^0^---^---
134^460.665000^0^0^---^---
135^460.670000^0^0^---^---
136^460.675000^0^0^---^---
137^460.680000^0^0^---^---
138^460.685000^0^0^---^---
139^460.690000^0^0^---^---
140^460.695000^0^0^---^---
141^460.700000^0^0^---^---
142^460.705000^0^0^---^---
143^460.710000^0^0^---^---
144^460.715000^0^0^---^---
145^460.720000^0^0^---^---
146^460.725000^0^0^---^---
147^460.730000^0^0^---^---
148^460.735000^0^0^---^---
149^460.740000^0^0^---^---
150^460.745000^0^0^---^---
151^460.750000^0^0^---^---
152^460.755000^0^0^---^---
153^460.760000^0^0^---^---
154^460.765000^0^0^---^---
155^460.770000^0^0^---^---
156^460.775000^0^0^---^---
157^460.780000^0^0^---^---
158^460.785000^0^0^---^---
159^460.790000^0^0^---^---
160^460.795000^0^0^---^---
161^460.800000^1^0^28^25
162^460.805000^0^0^---^---
163^460.810000^0^0^---^---
164^460.815000^0^0^---^---
165^460.820000^0^0^---^---
166^460.825000^0^0^---^---
167^460.830000^0^0^---^---
168^460.835000^0^0^---^---
169^460.840000^0^0^---^---
170^460.845000^0^0^---^---
171^460.850000^0^0^---^---
172^460.855000^0^0^---^---
